createdAt,updatedAt,patientID,patientName,patientBirthDate,patientNIK,patientPhoneNumber,patientAddress,patientEmail,isAlive,qualityScore,nameQuality
2024-08-28 15:31:21.732141,2025-03-12 17:15:48.262040,cdf6101a-69b4-4546-b14b-f4425a803d85,Maya Wijaya,,7110530306967048,62856668047,"Jalan Jl. M.H Thamrin No. 548, RT 13/RW 07, Ville, Depok 16018",,True,80,Valid
2021-02-23 22:08:12.933370,2024-07-28 11:44:01.307518,761074d2-7c1f-464b-ba55-ea39878bc092,Kiki Wibowo,2009-01-12,9424664601997328,62808331979,"Komplek Gang Cikutra Barat No. 564, RT 08/RW 06, Ville, Medan 11006",kikiwibowo982@yahoo.com,True,100,Valid
2021-01-22 18:37:50.460405,2021-01-22 18:37:50.460405,dbbfc91f-e8d4-4177-8ee7-de539c858da2,Fitri Wijaya,1948-11-18,1966464908372953,62833320107,"Jl. Jl. Ronggowarsito No. 412, RT 15/RW 07, Ville, Samarinda 20337",fitriwijaya351@outlook.com,True,100,Valid
2020-10-30 12:15:41.704839,2021-12-20 00:36:43.152374,823c5be1-e39d-4213-8193-aedf9cf7a0d9,Kiki,2021-11-22,5334185107640386,62886972911,"Komplek Jalan Suniaraja No. 519, RT 07/RW 05, Ville, Semarang 38371",kiki202@outlook.com,True,100,OneWord
2021-01-03 04:57:32.746297,2022-12-23 22:04:55.458510,37479e3c-9d8c-4163-ab4a-543a5090c583,Mira Maharani,2024-07-30,5230986205103587,62881242607,"Komplek Jalan Asia Afrika No. 673, RT 18/RW 01, Ville, Makassar 78314",miramaharani910@gmail.co.id,True,100,Valid
2020-08-24 14:42:11.371042,2025-02-04 11:30:53.610894,37889f4f-fac8-4ca7-9ac3-6cc426826d04,Kiki Wijaya,2019-08-16,3672065612457602,62891835299,"Gg. Jl. Pacuan Kuda No. 229, RT 20/RW 09, Ville, Medan 52670",kikiwijaya482@yahoo.com,True,100,Valid
2023-01-20 18:27:31.307121,2023-01-20 18:27:31.307121,4b24afb0-dc8c-4fc9-a369-9ac25bdbc8aa,Hana,,6394756809210796,62824350229,"Jl. Gg. S. Parman No. 341, RT 01/RW 08, Ville, Pekanbaru 28293",hana719@gmail.com,True,85,OneWord
2023-03-03 07:11:46.439851,2024-03-12 06:06:47.080113,e52797ad-726a-4658-8355-fd38c04c6b6d,Sinta Pratama,1942-09-11,1326085008561204,62819828649,"Jalan Jl. Bangka Raya No. 720, RT 03/RW 05, Ville, Jakarta Pusat 13712",sintapratama759@yahoo.co.id,True,100,Valid
2022-01-25 06:07:10.346195,2022-01-25 06:07:10.346195,92cd913d-9f04-470f-9b4c-49b9774c36ca,Budi Kurniawan,1951-05-08,,62896378767,"Jalan Jalan Rajawali Timur No. 382, RT 04/RW 10, Ville, Batam 47496",budikurniawan743@outlook.com,True,75,Valid
2022-12-23 22:44:52.235124,2024-11-03 07:37:30.140233,6812aeee-e59e-42ce-bcd6-701314f5b5ea,  Lina Wibowo  ,1979-03-11,5139356108968740,62890977571,"Perum Gang Rajawali Barat No. 224, RT 03/RW 04, Ville, Jakarta Selatan 52958",linawibowo431@yahoo.com,True,100,Valid
2021-07-19 18:47:10.151093,2021-09-16 05:36:04.201804,74c1aab5-5a55-4eb3-bf8c-116080cf0eb3,Hana,1951-09-19,8195682607162391,62834385991,"Jalan Jalan Asia Afrika No. 948, RT 15/RW 08, Ville, Batam 49253",hana113@yahoo.co.id,True,100,OneWord
2023-01-27 22:21:07.253755,2023-04-17 06:31:09.483187,74c23899-7c29-4ba7-9a8e-b716634aed9a,Dewi Oscar,1995-04-20,1253522410788341,62818770232,"Perum Jl. Dipatiukur No. 312, RT 03/RW 01, Ville, Tangerang 65965",dewi378@yahoo.co.id,True,100,Valid
2021-11-24 23:01:20.971002,2023-12-13 19:25:16.087588,c7f4cf52-6b80-4356-bb7d-ecc958989c96,Hadi Wijaya,1945-08-16,1314422207563399,62854812787,"Jalan Gg. Kapten Muslihat No. 158, RT 12/RW 04, Ville, Palembang 97000",hadiwijaya517@outlook.com,True,100,Valid
2023-02-10 11:56:26.556355,2023-02-10 11:56:26.556355,e4ce104a-ee90-4348-9f1a-412464454dab,Zaki,2016-05-31,6431544905522160,62801673606,"Jalan Gg. Pelajar Pejuang No. 503, RT 13/RW 07, Ville, Medan 54283",zaki596@outlook.com,True,100,OneWord
2020-05-15 22:23:06.723590,2022-01-29 16:45:20.784897,a3d14d52-f059-4c0d-bfec-0c986c441f56,Fajar Pratama,2003-03-24,7559572411703668,62880232166,"Jalan Gg. Dipatiukur No. 172, RT 11/RW 06, Ville, Bekasi 47008",fajarpratama387@yahoo.co.id,True,100,Valid
2021-08-29 17:12:51.684785,2021-08-29 17:12:51.684785,0f358e7d-61f6-402c-963c-30cbc7a0904c,Ayu,1984-02-13,5165624203627187,62832209655,"Gg. Jl. S. Parman No. 427, RT 10/RW 10, Ville, Denpasar 23772",ayu813@gmail.co.id,True,100,OneWord
2020-03-13 08:58:46.427760,2024-04-17 17:59:10.482308,f092e287-c27d-4270-b975-2a657d18a90d,Nina Fitriani,2018-04-26,6543994507851531,62885827124,"Jalan Jalan Laswi No. 938, RT 11/RW 09, Ville, Makassar 81230",ninafitriani454@yahoo.co.id,True,100,Valid
2021-05-20 05:16:47.985028,2022-09-15 00:09:33.766718,675a3af6-57f6-412e-9c01-e2d8a8ab6ba4,Ayu,2001-09-17,,62826829196,"Komplek Gang Siliwangi No. 615, RT 03/RW 05, Ville, Bandung 57310",ayu648@yahoo.com,True,75,OneWord
2022-07-03 17:28:23.171982,2022-07-03 17:28:23.171982,53f2cff2-79e6-4a09-aeca-0c2dd7c1bdf6,Vina Anggraini,,1829366509475729,62892581022,"Perum Gang BKR No. 527, RT 20/RW 08, Ville, Denpasar 96449",vinaanggraini183@yahoo.co.id,True,85,Valid
2022-05-04 19:54:23.064030,2022-09-27 20:14:37.369482,9620eb81-5549-4563-b1b5-1cd729529f49,Oktavia,2019-12-10,3287166509875921,62860749623,"Jl. Gang Rajawali Timur No. 367, RT 11/RW 07, Ville, Padang 96830",oktavia673@gmail.co.id,True,100,OneWord
2020-04-11 02:54:59.196775,2023-05-21 03:17:52.564975,65303156-0c69-433a-9ce0-e79ceab03e39,Citra Wibowo,1971-01-13,6143631910666617,62800892287,"Komplek Jl. Sukajadi No. 59, RT 12/RW 06, Ville, Tangerang 77013",citrawibowo977@gmail.co.id,True,100,Valid
2022-10-16 22:56:48.588292,2022-10-16 22:56:48.588292,0da70f4c-df2a-4d78-a42c-248385e4ed70,Tari Setiawan,1997-01-08,3436825009651868,62869899381,"Jl. Gg. Indragiri No. 740, RT 05/RW 07, Ville, Pekanbaru 76822",tarisetiawan690@gmail.co.id,True,100,Valid
2022-01-06 19:40:34.296670,2022-07-14 09:05:57.200453,3e2bc6b3-b6fd-4218-9a92-d950f907f172,Reza,1935-10-20,7254251501067368,62821009454,"Gang Jalan Waringin No. 847, RT 09/RW 03, Ville, Bogor 27955",rezakurniawan196@outlook.com,True,100,OneWord
2022-02-18 19:50:15.808495,2022-02-18 19:50:15.808495,3d4b1c90-b22f-444f-b9eb-137b71aae4b5,Vina,1990-08-18,7346961508900499,62856123198,"Jl. Jalan Pasir Koja No. 292, RT 03/RW 09, Ville, Pekanbaru 14732",vinafitriani870@yahoo.co.id,True,100,OneWord
2024-12-01 12:48:24.955189,2024-12-01 12:48:24.955189,6d2f9479-e2ea-4b5f-8d41-02a9ffbc22cf,Wahyu Wijaya,1949-05-31,1862115108765225,62884347583,"Perum Jl. Gedebage Selatan No. 500, RT 01/RW 06, Ville, Medan 44890",wahyuwijaya923@gmail.co.id,True,100,Valid
2020-08-07 20:31:50.131168,2020-08-07 20:31:50.131168,a98cba88-f61b-4d5c-8b8a-1a23d81d0266,Deni Kiki,,1992236110199137,62804180693,"Gang Gg. Surapati No. 8, RT 04/RW 05, Ville, Jakarta Timur 77614",deni315@gmail.co.id,True,85,Valid
2024-04-18 14:33:24.656588,2024-11-28 19:03:43.464202,a75e4f39-827f-489d-acb2-9f64828e2e55,Nina Kurniawan,1975-02-15,,62836734083,"Jalan Gg. Cihampelas No. 700, RT 07/RW 02, Ville, Makassar 26048",ninakurniawan617@yahoo.co.id,True,75,Valid
2020-07-26 09:11:50.917475,2023-07-11 01:43:56.056142,560db296-2c3d-4a75-a70e-7d9a9dc5b7cf,Joko,1946-11-01,1365526907439355,62814571298,"Gang Jl. Ahmad Yani No. 600, RT 14/RW 04, Ville, Jakarta Pusat 56105",joko164@yahoo.com,True,100,OneWord
2021-12-16 23:53:25.526813,2023-12-24 02:56:42.979027,96b7b716-003f-4b33-9559-718b3094edda,Kiki Rahayu,1988-05-27,,62830995354,"Perum Jl. Cempaka No. 919, RT 10/RW 01, Ville, Bandar Lampung 84589",kikirahayu305@gmail.com,True,75,Valid
2021-01-03 08:41:43.432108,2022-01-16 15:45:48.437532,a53023ca-fa0b-4fa7-a3c8-f741b6c2090f,Reza Santoso,1978-07-24,1113360902734580,62890542753,"Komplek Jl. W.R. Supratman No. 49, RT 13/RW 09, Ville, Palembang 36696",rezasantoso457@gmail.co.id,True,100,Valid
2024-04-13 10:11:02.473539,2024-12-15 09:26:52.898476,ed02ae05-9a38-448b-8870-6afd03b1b065,Fitri Rahayu,1973-10-21,8153150108960383,62860129550,"Jalan Gang Rumah Sakit No. 23, RT 07/RW 09, Ville, Bandung 14676",fitrirahayu240@yahoo.com,True,100,Valid
2023-09-14 22:09:36.913174,2025-06-21 11:08:16.411311,51ebb9cc-db99-4931-9b09-0312123dbd8d,Hana Setiawan,,1310215401202525,62837103888,"Gang Gang Jayawijaya No. 818, RT 11/RW 03, Ville, Makassar 67912",,True,80,Valid
2020-07-17 13:22:46.533459,2021-01-20 11:26:51.224725,ec556a4e-b2c2-434c-9fd5-762fc63fb86e,Ayu,1980-08-01,6556414905051785,62801852458,"Jl. Jalan S. Parman No. 336, RT 16/RW 01, Ville, Denpasar 32666",,True,95,OneWord
2024-03-27 21:26:33.062025,2024-06-07 17:21:08.761483,09e2faa7-2e0d-48e9-8531-440480afc6bb,Putri,1975-10-09,9113472703402184,62859775859,"Komplek Gg. Sukajadi No. 335, RT 04/RW 01, Ville, Samarinda 37511",putri119@gmail.com,True,100,OneWord
2020-12-18 00:42:46.738767,2022-10-17 03:57:11.349117,6061d712-acb1-46fc-b02c-93801f12f756,Dewi Wardani,1973-04-30,1827374601913986,62887164394,"Perum Gg. R.E Martadinata No. 533, RT 12/RW 04, Ville, Jakarta Timur 55123",dewiwardani464@outlook.com,True,100,Valid
2020-07-23 01:53:02.435784,2022-12-30 12:16:09.476113,c8369525-e0c3-4fef-bd25-6e8ff6092736,Citra Pratama,1981-02-03,1327961405094372,62867982368,"Gg. Gang Medokan Ayu No. 720, RT 08/RW 01, Ville, Bogor 56136",citrapratama684@yahoo.co.id,True,100,Valid
2020-08-09 16:46:38.185634,2021-12-31 22:07:44.212392,f0b22d13-234b-404d-ae45-03f5aa3b434c,Fajar,1970-01-26,6333570309797787,62891359794,"Gg. Gang KH Amin Jasuta No. 467, RT 12/RW 05, Ville, Bandung 67848",fajarsari321@outlook.com,True,100,OneWord
2023-07-25 11:38:16.255888,2023-07-25 11:38:16.255888,b1093b05-1929-4da0-b97e-1405f298de05,Dewi,,1209816407150419,62897625719,"Gang Gg. Moch. Ramdan No. 605, RT 01/RW 09, Ville, Jakarta Utara 64703",dewi663@yahoo.com,True,85,OneWord
2023-05-20 09:48:48.067159,2025-05-27 09:53:29.204542,45683df8-f5bd-4346-ae47-5dea06494794,Zaki Wardani,1974-09-17,6399396003745735,62821026799,"Jl. Gang Kapten Muslihat No. 677, RT 13/RW 06, Ville, Padang 89361",zakiwardani202@gmail.com,True,100,Valid
2021-09-19 16:05:29.371921,2023-07-13 16:41:16.813013,38774245-cdd9-4c1b-8d25-00a21c2adc0e,Oscar Sinta,1936-12-27,7449770105738775,62854294984,"Gang Gg. Rungkut Industri No. 989, RT 01/RW 05, Ville, Banjarmasin 53623",oscar167@gmail.com,True,100,Valid
2023-04-19 23:04:41.011618,2024-04-20 11:48:54.115218,981e906a-feb0-4684-b05c-dbe37e4d27c3,Bayu Permana,1938-05-04,8136401911126370,62865717502,"Gang Jl. W.R. Supratman No. 423, RT 01/RW 01, Ville, Bandung 31028",bayupermana421@yahoo.co.id,True,100,Valid
2021-07-16 23:25:31.576576,2021-07-16 23:25:31.576576,bc12cccf-4d07-429e-8799-31778355056b,Wahyu Pratama,1954-07-24,,62837033548,"Perum Gang Stasiun Wonokromo No. 505, RT 12/RW 09, Ville, Jakarta Pusat 33415",wahyupratama468@gmail.com,True,75,Valid
2024-08-19 18:34:50.839555,2025-04-21 21:41:52.726340,6c312663-f2af-49bd-aba1-dce19d184a73,Sinta,2011-05-31,,62828672164,"Jalan Jalan Abdul Muis No. 205, RT 07/RW 07, Ville, Jakarta Timur 82178",sinta982@gmail.co.id,True,75,OneWord
2020-11-03 09:42:59.133146,2023-03-31 09:46:27.305869,cf96f0d0-578d-4255-bd10-dda82a2f02e1,Mira,,9174084511530330,62851523582,"Jalan Jl. Kutai No. 906, RT 04/RW 09, Ville, Bekasi 81536",mira936@gmail.co.id,True,85,OneWord
2023-07-23 12:39:40.389763,2024-08-13 10:51:10.244930,f0c6ffa5-c7a9-4837-9de5-e115654d356a,Ayu Fitriani,2009-07-30,7506964802411575,62869030992,"Jl. Gang W.R. Supratman No. 337, RT 10/RW 02, Ville, Jakarta Timur 60311",ayufitriani765@yahoo.com,True,100,Valid
2023-08-03 16:20:50.723056,2024-08-23 17:40:59.704519,47a6be46-831f-4267-85e5-ff714d17be40,Sinta,1952-12-12,1940860303870416,62862844320,"Gg. Gg. Pasir Koja No. 78, RT 07/RW 08, Ville, Jakarta Pusat 78195",sinta625@outlook.com,True,100,OneWord
2023-04-09 00:44:30.804590,2023-04-09 00:44:30.804590,cb0d219b-d534-4dd9-8d43-0a7194588408,Kiki Bayu,2021-11-22,5334185107640386,62886972911,"Komplek Jalan Suniaraja No. 519, RT 07/RW 05, Ville, Semarang 38371",kiki202@outlook.com,True,100,Valid
2022-03-26 10:07:55.715189,2022-03-26 10:07:55.715189,2819670e-2978-422b-8822-a0370af91a51,Bayu Maharani,,6245636112055702,62841947072,"Gang Gang Suniaraja No. 824, RT 08/RW 01, Ville, Banjarmasin 40959",bayumaharani409@gmail.com,True,85,Valid
2024-08-22 05:26:07.138089,2024-12-23 13:04:14.570301,631083a1-b9d2-4c25-bdc1-f8a6b170ce5b,Sari Yuni,1940-05-24,7407920905151579,62837179685,"Gang Gg. Abdul Muis No. 506, RT 04/RW 03, Ville, Semarang 68400",sari142@yahoo.co.id,False,100,Valid
2021-03-24 17:25:25.388521,2025-01-06 13:02:24.860187,a5e393c9-92bf-4ca5-94f4-109cf288c6ca,Hadi,1990-05-07,1829076110514178,62859561124,"Jalan Gang Sukajadi No. 485, RT 15/RW 07, Ville, Jakarta Timur 45094",hadi656@yahoo.com,True,100,OneWord
2021-05-11 20:03:47.854886,2023-11-17 02:25:12.400866,1703fb8a-0e6d-434b-b361-47df131d376e,Indra,,1597622603978163,62870418515,"Perum Jl. Rajawali Barat No. 140, RT 19/RW 06, Ville, Bekasi 75177",indra618@outlook.com,True,85,OneWord
2024-08-29 17:22:45.632528,2024-11-17 09:16:26.976993,86240e03-a689-4166-8fcd-156ec2641a0d,Maya,1964-01-10,7505505905239170,62880078858,"Komplek Gg. Soekarno Hatta No. 708, RT 07/RW 06, Ville, Pekanbaru 32632",maya475@outlook.com,True,100,OneWord
2020-02-18 18:44:06.272345,2024-06-17 12:59:11.000590,f8feb2e5-d05c-4f00-8f7d-0b678dcd3568,Hana Purnomo,1982-12-30,8111372412800267,62812014459,"Gang Gang Cihampelas No. 424, RT 14/RW 01, Ville, Padang 90435",hanapurnomo885@gmail.com,True,100,Valid
2024-03-07 12:17:50.675120,2024-03-07 12:17:50.675120,698f0324-83b2-441f-8948-c1cd94dcd83a,Gita Sari Citra,,1612534104554961,62834606562,"Jalan Jl. Kendalsari No. 229, RT 07/RW 10, Ville, Bogor 48165",gitasari50@outlook.com,True,85,Valid
2020-08-06 08:44:27.834622,2021-06-25 17:00:38.181497,b7ba4804-68d1-4d78-968e-6a61e81de7fa,Tari,1968-03-11,1807034308219527,62822044834,"Gang Jl. Bangka Raya No. 237, RT 10/RW 10, Ville, Makassar 80111",,True,95,OneWord
2020-04-22 05:59:37.031948,2020-04-22 05:59:37.031948,90243350-624f-4973-bcfa-7ae4abbeacc0,Citra Lestari,1994-08-03,3638841909837570,62848377724,"Komplek Jalan Jamika No. 752, RT 12/RW 05, Ville, Jakarta Utara 45623",citralestari409@yahoo.co.id,True,100,Valid
2023-06-02 09:25:44.020495,2024-12-13 00:27:11.632075,9e3c459e-997f-4cf6-b3ca-ce57ed989912,YUNI INDRAWATI,1972-09-12,3117815401569571,62856380402,"Jalan Jl. K.H. Wahid Hasyim No. 191, RT 15/RW 08, Ville, Depok 47580",yuniindrawati367@gmail.com,True,100,Valid
2021-03-18 00:06:29.522876,2021-08-19 04:52:07.853337,59d64348-a9f1-4c54-a309-89917559269e,Fitri,1949-09-03,6532600610917593,62828759059,"Komplek Gang Kutai No. 787, RT 20/RW 01, Ville, Bekasi 99783",fitri503@gmail.co.id,True,100,OneWord
2020-08-04 15:56:03.676080,2023-03-03 20:09:29.565185,d55e1b90-b543-4530-8440-ee9096266312,Gita Lestari,1967-09-19,6514231910782422,62821347648,"Komplek Gang Pacuan Kuda No. 103, RT 09/RW 01, Ville, Makassar 31811",gitalestari409@yahoo.co.id,True,100,Valid
2020-04-05 01:44:55.730205,2022-12-22 07:29:21.845944,4b8c9e76-84aa-4a0e-898c-887611f0069c,Umi,1989-02-22,5163534912591288,62888098280,"Gang Gg. Pasirkoja No. 920, RT 05/RW 09, Ville, Padang 14541",umi217@outlook.com,True,100,OneWord
2020-09-11 19:48:35.190503,2020-11-24 12:27:19.374891,7dda1f10-4959-43b1-8bcc-bc9faf90584c,Kiki Santoso,2013-03-07,1781571106116399,62883395126,"Gang Gg. Peta No. 167, RT 11/RW 04, Ville, Samarinda 33459",,True,95,Valid
2020-09-12 22:35:07.480700,2023-08-10 23:49:24.339553,f87cbb20-568a-4b59-82bd-2bb6e015a2b0,Rani Suryanto,1961-01-28,1555881111767609,62819199151,"Komplek Gg. Cikutra Barat No. 639, RT 06/RW 09, Ville, Denpasar 12780",ranisuryanto61@outlook.com,True,100,Valid
2021-09-20 18:55:54.137331,2023-02-03 18:32:39.506396,db44e6dc-2662-4ee6-ab11-a22199e129b8,Mira,1960-07-02,1319933003255964,62811965800,"Gg. Gg. R.E Martadinata No. 34, RT 03/RW 03, Ville, Semarang 41784",mira307@gmail.com,True,100,OneWord
2020-02-06 10:58:23.192248,2024-08-01 09:59:41.203934,08c304b0-136c-4082-9b0b-d936056c47c7,Kartika Permana,,3548281612704173,62847668268,"Gg. Gg. Bangka Raya No. 615, RT 04/RW 05, Ville, Pekanbaru 74993",kartikapermana131@outlook.com,True,85,Valid
2024-05-15 00:18:47.295484,2024-09-07 05:21:18.246545,5cd09eaf-89a6-4301-9f2b-0896ba236732,Hana Anggraini Oktavia,2000-09-12,8262751805843731,62892220772,"Jl. Gang Gedebage Selatan No. 952, RT 09/RW 05, Ville, Jakarta Timur 97145",hanaanggraini13@outlook.com,True,100,Valid
2023-05-28 18:25:19.593529,2024-03-04 21:03:15.362243,e1add54e-cd82-4cdd-910f-c1362a466742,Tari,1971-08-06,5320186606634762,62831042707,"Gg. Jl. H.J Maemunah No. 905, RT 12/RW 09, Ville, Padang 17660",tari391@yahoo.co.id,True,100,OneWord
2022-05-12 17:58:53.781038,2024-02-22 07:41:57.222919,949b5e0e-c38f-47a2-8bd3-253104d88186,Budi Gita,1991-01-15,6113314311803113,62822397093,"Gang Jalan Ir. H. Djuanda No. 753, RT 18/RW 08, Ville, Makassar 96994",budi149@yahoo.com,True,100,Valid
2022-11-25 20:16:38.712902,2024-05-27 23:51:31.080130,0a0fbc56-71b0-4950-8fda-498ba7b563af,Fitri,2011-06-04,7608380801736854,62803134149,"Gg. Gg. Asia Afrika No. 836, RT 02/RW 06, Ville, Samarinda 17228",fitri85@gmail.co.id,True,100,OneWord
2022-10-28 20:28:03.027993,2022-10-28 20:28:03.027993,2d88aaa2-a5cc-4fe9-9eb9-1c97738a8f30,Putra Susanti,1982-12-28,5131501306804913,62834677895,"Jl. Gang Joyoboyo No. 37, RT 05/RW 04, Ville, Denpasar 35879",,True,95,Valid
2021-09-10 13:22:25.330385,2022-05-05 07:46:17.864207,7f2e33aa-c0f2-4512-bd3a-cff8d025f68e,Budi,1991-01-15,6113314311803113,62822397093,"Gang Jalan Ir. H. Djuanda No. 753, RT 18/RW 08, Ville, Makassar 96994",budi149@yahoo.com,True,100,OneWord
2020-06-26 16:48:39.768101,2024-07-02 02:27:52.546824,415658e6-43b5-4142-b2b8-e9d4168e88f6,Zaki,2012-12-27,1177296108542812,62874400881,"Gg. Gang Monginsidi No. 620, RT 19/RW 09, Ville, Jakarta Selatan 29220",zaki827@gmail.co.id,True,100,OneWord
2023-04-08 02:16:56.213563,2023-04-08 02:16:56.213563,2cb29523-e0bd-45c7-8c0a-92b2e5a15214,Tari Oktaviani,1937-04-12,7533257007446047,62871175624,"Gg. Gang Siliwangi No. 403, RT 14/RW 09, Ville, Surabaya 45168",tarioktaviani414@yahoo.com,True,100,Valid
2020-04-06 00:40:40.989138,2021-11-10 07:24:48.612772,bbcb43ac-403c-429d-8369-ee1d1a9402cf,Ayu,1939-08-25,6259415712633915,62840635834,"Jl. Gang HOS. Cokroaminoto No. 974, RT 10/RW 07, Ville, Bogor 52546",ayu957@yahoo.com,True,100,OneWord
2020-09-03 17:49:37.207691,2020-09-03 17:49:37.207691,5f5f3c78-a447-483f-8d9b-b30a0b1a1e97,Fajar,1971-07-20,7415534411514574,62855663529,"Gg. Jalan Cihampelas No. 992, RT 09/RW 01, Ville, Banjarmasin 30781",fajar124@outlook.com,True,100,OneWord
2021-09-23 09:07:35.852262,2024-07-23 01:06:21.421589,bf87e13b-8a8b-4584-8af2-88ec0c573890,Kiki Maharani,2007-05-18,5101034205591942,62829053457,"Jalan Jalan Veteran No. 806, RT 17/RW 03, Ville, Jakarta Pusat 73910",kikimaharani84@gmail.com,True,100,Valid
2021-05-29 03:11:39.171143,2023-11-21 11:04:00.038935,ae957c72-3695-45c0-bddf-3365460e26c5,Sari,2001-09-23,5317643005232670,62843528651,"Gang Jl. Ahmad Yani No. 135, RT 20/RW 08, Ville, Pekanbaru 55954",saripratama887@yahoo.co.id,True,100,OneWord
2023-10-02 08:02:49.833891,2025-05-13 13:30:00.271607,6da25629-e0c6-4945-a968-6e45455004ce,Yuni Maharani,2006-09-06,3244134906674647,62819270646,"Perum Gg. Monginsidi No. 896, RT 14/RW 01, Ville, Batam 50577",yunimaharani522@yahoo.com,True,100,Valid
2020-07-14 12:49:24.504968,2024-06-05 06:50:05.537375,015831c9-ad9f-4aa5-8fc5-7b10d6d773f9,Rani,1990-02-11,3693123012734499,62842424312,"Komplek Gg. Rajawali Barat No. 737, RT 15/RW 04, Ville, Banjarmasin 47701",,True,95,OneWord
2023-05-16 19:05:57.542001,2025-01-04 10:01:46.488246,3d86b39a-127b-4d6f-8a3d-d2b39b10297f,Budi,1939-03-01,3293462812094403,62871093309,"Komplek Jalan Monginsidi No. 293, RT 11/RW 06, Ville, Bogor 47461",budi256@outlook.com,True,100,OneWord
2021-02-20 06:31:27.363460,2024-03-01 01:50:15.144436,7f105a01-50ae-4471-8892-2a630772a971,Nina Kusuma,1980-01-02,1489880802247134,62827063689,"Gang Gang Jamika No. 221, RT 07/RW 06, Ville, Denpasar 94599",ninakusuma405@gmail.co.id,True,100,Valid
2021-02-24 10:20:37.837999,2025-06-04 06:59:23.009097,316a9d54-485e-4cb6-830b-25ca6e641501,Lia Wardani,1952-11-13,8212164511975865,62836177473,"Gang Gg. Kiaracondong No. 257, RT 02/RW 02, Ville, Jakarta Selatan 53875",liawardani902@gmail.com,True,100,Valid
2022-03-25 21:14:20.847112,2022-03-25 21:14:20.847112,85e35618-cac4-48c4-8a6f-c3d919b7dc50,Lia,2014-03-10,5234775307603344,62862040092,"Komplek Gang PHH. Mustofa No. 606, RT 18/RW 08, Ville, Banjarmasin 34365",liaindrawati531@outlook.com,True,100,OneWord
2022-01-15 11:17:32.944707,2022-04-29 08:42:20.013502,56d50b7f-206a-4e30-9a83-89c7bb5cc073,Zaki Kusuma,1979-04-04,,62844803285,"Gang Gang Dipenogoro No. 213, RT 11/RW 07, Ville, Jakarta Timur 37327",zakikusuma601@gmail.com,True,75,Valid
